,index,timePeriod,processedText
33,9825,1800-01-01,length find duke york guilty corruption
34,4588,1800-01-01,
35,2955,1800-01-01,yet give noble lord high character never yet tell fit person kingdom office seem something good chance find really
36,5832,1800-01-01,wrottesley rise advert notice give intention submit monday next production certain paper respect insurrection take place dublin july last observed subject press point time induce urge present therefore postpone die yet importance felt duty state hold pledge country bring forward business soon allude cease exist
37,2604,1800-01-01,neither follow commencement conclusion speech
38,3461,1800-01-01,inference draw
39,949,1800-01-01,undoubtedly true law object deficient mean change time require new penalty provision effect old formerly adequate
40,7525,1800-01-01,
41,4643,1800-01-01,leave suppose thing subject night
42,7202,1800-01-01,question crave indulgence moment make short observation fall
43,5743,1800-01-01,none mere pain inflict great possible various effect accompany parade virtue exercise power
44,6555,1800-01-01,creevey profess willingness withdraw assurance suggest
45,2747,1800-01-01,hand mean lawful influence property continue hitherto practise allow
46,5757,1800-01-01,never rely confidence power continent military exertion however much rely maritime effort
47,5321,1800-01-01,grey already properly remark
48,8670,1800-01-01,chancellor exchequer move lay account amount bank england note circulation st june st august st october th november amount value l
49,3038,1800-01-01,accord noble lord prosperity cause prosperity productive great misfortune dwell longer singular far hold afflict prospect country
50,628,1800-01-01,opposite state
51,3202,1800-01-01,mean unfair conclude existence power grant bill reason never actually exert
52,3697,1800-01-01,respect feeling change situation noble lord accuse shrink charge give unequivocal denial feel disgrace stand situation delinquent
53,4558,1800-01-01,case defence instance failure conclusive defendant
54,3419,1800-01-01,proceed reign charles first furnish uswith memorable case beg leave trouble ship mean prynne burton bastwick
55,1306,1800-01-01,story cony nothing connection truth story truth declaration tell story particular person
56,7066,1800-01-01,make case please deprive best security liberty
57,4211,1800-01-01,
58,2943,1800-01-01,shew servant belong duke york ever attend place never get note change
59,6554,1800-01-01,find col
60,6953,1800-01-01,yorke clarke live agent broker live duke antecedent experience enable successfully carry corrupt practice observe circumstance others put royal highness guard artifice corrupt view know old habit favourable opportunity fail indulge
61,7028,1800-01-01,
62,7176,1800-01-01,
63,9240,1800-01-01,pass subject
64,4594,1800-01-01,
65,6619,1800-01-01,yet know matter agree propriety sentiment however abandon hour misfortune admit consider present obligation light solemn treaty nature engagement
66,3710,1800-01-01,
67,9042,1800-01-01,
68,4393,1800-01-01,duty
69,1562,1800-01-01,public justice country well satisfied perhaps criminal prosecution view vote mode proceeding
70,2082,1800-01-01,matter doctrine blend matter faith admit low middling class people equally apparent quality mind ostensible conduct govern govern object jealousy prince painful degrading contrast people
71,3988,1800-01-01,july write adam state give paper person stubborn independent expose
72,7134,1800-01-01,sit undertake defend address appeal time king william profess draw precedent support present proceeding
73,4022,1800-01-01,various government sad experience find best time grant indulgence speak properly natural first ask
74,9253,1800-01-01,bastard contend duty watch jealous office
75,7337,1800-01-01,treasury openly buy sell seat keep great degree monopoly market
76,604,1800-01-01,noble lord remain yet ascertain first effort catamaran expedition promise much capacity office compare noble lord leave
77,9864,1800-01-01,militia enlisting bill read third time question put bill pas earl spencer rise oppose passing bill merely enquire noble secretary state arrangement intend respect matter lordship conceive highly important provision make present bill observe namely regard officer attach several regiment militia superfluous regiment come reduce intended limitation object inform continue full reduce pay
78,2045,1800-01-01,point view wish bill receive sanction legislature speedily possible contain particular provision approve namely hold bounty volunteer perfect military discipline exercise
79,4850,1800-01-01,great object buonaparte get india already attempt pave way object
80,5362,1800-01-01,order report enquiry relative isle man make year also account respect revenue isle present session parliament refer committee
81,114,1800-01-01,present minister therefore fairor claim service others solely interested
82,4087,1800-01-01,treasury last place consent send account loyal man john bowles audit pass improbable strict examination sift account besides treasury power examine oath
83,5449,1800-01-01,true cause grievance exist neglect bishop permit person take holy order proper situation
84,7350,1800-01-01,assure never read pamphlet allow regularly lay table
85,641,1800-01-01,
86,4639,1800-01-01,real difference find contend contend pass notice
87,1909,1800-01-01,whitbread rise object resolution concur entirely sum propose
88,6791,1800-01-01,well illustrate fallacy argument something sort quite good respect much well respect point archness remember boy contested election county norfolk candidate respectable man render obnoxious inclosure common proceeding less familiar time become well calculate therefore make subject popular clamour wit day ask way dialogue man deserve steal goose common
89,4006,1800-01-01,buonapart agent sow discord foment passion people order distract divide weaken force well embarrass majesty council
90,1460,1800-01-01,long live nichols
91,2967,1800-01-01,clinton quit situation col
92,2919,1800-01-01,objection make proposal difficulty expence bank ireland attend procure fund london draw
93,5446,1800-01-01,therefore move return paper move make forthwith
94,4454,1800-01-01,turton wish ther examination witness continue
95,220,1800-01-01,exception grenville hobhouse place propose lord temple addington
96,686,1800-01-01,office agency transact court street
97,4444,1800-01-01,refer late matter
98,1294,1800-01-01,royal highness stand succession throne
99,670,1800-01-01,night begin army campaign portugal become disposable proceed spain
100,1941,1800-01-01,order ascertain necessary look particularly evidence give place residence
101,5579,1800-01-01,foreign agent store account arrear
102,6653,1800-01-01,motive trouble present occasion earnest wish uphold character privilege parliament guard innovation tend alter established form proceeding diminish power always enjoy exercise
103,9662,1800-01-01,noble lord resort ground tell whatsoever condition forfeit palmer misconduct office misconduct noble lord please indicate particular
104,4463,1800-01-01,
105,5824,1800-01-01,fact remove therefore trust time lose minister givingus mean form true candid fair judgment
106,1938,1800-01-01,
107,5365,1800-01-01,adopt suggestion postpone latter part bill
108,122,1800-01-01,
109,7856,1800-01-01,respect leather trade conceive reduction duty necessary continue prosper believe engage perfectly satisfy
110,7572,1800-01-01,impossible person exercise impartial judgment consider treat otherwise direct willingness agree propose
111,1245,1800-01-01,moment sow division people encourage discontent
112,2985,1800-01-01,former occasion remember undertake censure freely proceeding officer superior ability much rank major comment severity general meadow musgrave others
113,378,1800-01-01,especially assurance exact reason remain refuse treaty excellency assure contain hostile britain
114,3670,1800-01-01,earl spencer make relative future progress volunteer bill
115,2197,1800-01-01,kind example likely give
116,3057,1800-01-01,ready repeat fully acquit personal corruption part duct call reprehension fully justify resolution intention propose
117,5693,1800-01-01,
118,7095,1800-01-01,proclamation martial law exercise prerogative constitution anxious avoid
119,228,1800-01-01,however present name day state precise term
120,2837,1800-01-01,glad hear something
121,3149,1800-01-01,lord hawkesbury enter discussion question noble involve future day
122,5328,1800-01-01,robert ward comment argument make use
123,903,1800-01-01,hear declare public meeting thus conduct whole tenor life
124,4889,1800-01-01,appear case sister know rather tell father therefore still adhere former question answer direct manner
125,3917,1800-01-01,various property susceptible boundless diversity relation arise civil life infinite possible event elude power enumeration reach human foresight
126,9945,1800-01-01,roan assert intention govt
127,2692,1800-01-01,never spirit well letter act less favourable willful never thing afford wretched handle thing subterfuge equivocation
128,5356,1800-01-01,presume cause keep amount bounty present height
129,5755,1800-01-01,appearance look amp account report neither credit reject intimation give insurrection threaten subvert government ireland
130,366,1800-01-01,patteson see reason complain disposition part connect company withhold information necessary guide inquiry decision committee
131,1327,1800-01-01,convention cintra originate majesty minister approve gather
132,447,1800-01-01,occasion multiply resolution preparatory last resolution answer purpose sufficiently manly come direct positive
133,7956,1800-01-01,burdett pay
134,4183,1800-01-01,public form pretty good idea subject oven understand article charge forty pound find four pound fair price
135,4051,1800-01-01,reply objection beg inform committee fully take amount encreased revenue arise source creation make allowance deduction account present report
136,8513,1800-01-01,bill read second time
137,7921,1800-01-01,respect jury trial case action bond case law scotland wise
138,3901,1800-01-01,course strong claim country
139,7813,1800-01-01,
140,130,1800-01-01,thus far examine nature charge let inquire little thing bind yield authority bring forward
141,9578,1800-01-01,pencil note first view indeed
142,4788,1800-01-01,large ship send temporary supply admit admiralty answerable thing st december date squadron week water week day bread week beef pork wine
143,6159,1800-01-01,general privy council something common deprive opportunity acquire revive public estimation hold
144,9595,1800-01-01,propose considerable different charity ireland account creased rate provision
145,589,1800-01-01,situation agent lord melville pecuniary concern trotter vast amount lordship examine unable inform advance make trotter public money
146,6020,1800-01-01,
147,9905,1800-01-01,treat business ireland lightly appear act negligently interest time act offensively feeling
148,3974,1800-01-01,allude make
149,6964,1800-01-01,lord castlereagh occasion present invariable practice parliament vote thanks service
150,2625,1800-01-01,throne preference charles iv
151,6394,1800-01-01,gentletleman pitt utmost ability profess entertain hope
152,8190,1800-01-01,trust additional force bill completely prove inefficient
153,8251,1800-01-01,dundas bring report waterford committee state committee find election alcock illegal defective consequently declare john newport legal
154,6767,1800-01-01,fore hard argument sentiment attribute never utter
155,2559,1800-01-01,hear
156,7741,1800-01-01,bear evidence namely letter write archbishop tuam respect meara find possession clarke address meara
157,5406,1800-01-01,maling fail entirely nearly escape recollection
158,1457,1800-01-01,fit object attention
159,9143,1800-01-01,catholic church instead domineer others scarcely able sustain clamour raise subject head idle absurd century ago perhaps circumstance afford reasonable ground apprehension
160,3953,1800-01-01,noble lord
161,8844,1800-01-01,see well found objection urge proceeding kind often adopt former occasion
162,6198,1800-01-01,fault point
163,3645,1800-01-01,reverse turn case tend rather produce allay discontent much complain
164,4333,1800-01-01,present creditor bankrupt choice assail assignee petition chancellor suit common law
165,2005,1800-01-01,
166,4073,1800-01-01,long support original
167,2930,1800-01-01,spot england fit purpose infirmary hospital happy give double sum col
168,6381,1800-01-01,crown give
169,7068,1800-01-01,farmer ireland advantage navigation convey grain market therefore find small still beneficial
170,54,1800-01-01,question put lord hawkesbury agree adjournment accordingly take place
171,9689,1800-01-01,hoard repartee mature jest full content common place book severe invective bold hardy assertion collect mass kindle blaze eloquence come altogether relation subject debate
172,7300,1800-01-01,bad intention firmly believe disavowal intention sincere
173,354,1800-01-01,regulation tend increase number bankrupt
174,8338,1800-01-01,even justice cause mote indisputable fear make appear make impression nation europe highly unfavourable honour mode commence hostility shew actuate sordid thirst lucre rather generous resentment supposed wrong
175,9243,1800-01-01,place ultimate destination apprise suppose time arrival chance reach port interception
176,5524,1800-01-01,declare
177,8747,1800-01-01,nothing proceed upon fication measure assertion
178,4257,1800-01-01,certainly know solicitor noble lord refer beg leave decline recollection favour least gratitude person oblige strong memory noble lord forget tell call chancellor exchequer morning expressly hop sense obligation solicitor prevent paper produce affair
179,5574,1800-01-01,
180,8060,1800-01-01,account french ship destroy take possession toulon together ordnance store
181,9228,1800-01-01,could maintain regard character pass circumstance
182,6587,1800-01-01,utmost faith repeat observe volunteer particularly instance allude
183,2855,1800-01-01,give notice bring forward question morrow notice intention strictly first intimation receive document intend bring forward document already solely leave form fore guide bind abide former notice bring forward question morrow letter move
184,1842,1800-01-01,chancellor exchequer remark argument
185,7948,1800-01-01,army last year king minister take vote credit claim amount excess propose estimate vote noble
186,7157,1800-01-01,conclude move follow amendment humble address present majesty acquaint majesty take serious paper majesty gracious command lay table relative overture make majesty enter negociation power russia france
187,8254,1800-01-01,whitbread rise purpose draw attention act deeply affect privilege thing ever occur honour seal
188,4083,1800-01-01,however observation
189,3738,1800-01-01,french capt sandon view alleviation
190,7968,1800-01-01,landed interest exercise art borough suppose practise monied interest really see respect gainer suppose person possess influence use favour neighbour country indulge groundless hope
191,7987,1800-01-01,repeat lament good arrangement make unfortunate connection break confident agree circumstance call upon stop annuity threaten expose comply requisition renew impossible threat recede
192,1894,1800-01-01,formation committee make country general merchant person connect west indie
193,2289,1800-01-01,sake abstain express entirely concur view conduct
194,988,1800-01-01,article stave reduction much use provision trade ireland
195,8559,1800-01-01,
196,1358,1800-01-01,committee naval enquiry doubt propose examine either great object look account public private afford good evidence thing expect come mouth delinquent whatever
197,1277,1800-01-01,admit fact still come great lead inquiry st far improvement volunteer best course pursue view even present danger consider even moment improvement obtain mean prejudicial respect
198,4120,1800-01-01,culpable make law practically find produce effect injurious public interest
199,4859,1800-01-01,earl stanhope avoid make question
200,9041,1800-01-01,respect essential difference voluntary mercenary army
201,8057,1800-01-01,therefore find improper put country great j britain ireland footing
202,8568,1800-01-01,conduct
203,2204,1800-01-01,take castle abydos destroy
204,9457,1800-01-01,impossible produce paper move reach majesty government form others accurately describe possession information contain highly improvident present moment communicate information world
205,3243,1800-01-01,guard charge nature suggest amendment
206,6858,1800-01-01,act union irish distiller come market pay duty measure carry put question rest twelvemonth vengeance
207,1998,1800-01-01,idea attempt much observable regulation likely bad effect volunteer system hope entertain many consent put permanent duty certainly subject much rigour ill found however entertain sanguine hope great number accept invitation put permanent duty best mean make good military force exercise french come best mode enable meet certainty triumph also reasonable expectation conduct contest little effusion possible british blood
208,8879,1800-01-01,however reasonable object also amend still many honest country look laudable jealousy proceeding case duty others object leave press prove committee
209,1428,1800-01-01,appear use mode proceed case nature
210,7219,1800-01-01,great work
211,597,1800-01-01,sum want interest loan sinking fund l
212,1208,1800-01-01,unfair attack noble lord complain ready last night namely noble lord refer particular case know produce paper
213,4785,1800-01-01,well teach perfect knowledge thing learn know imperfectly know thing argue mind know argue unable conceive application argument nothing matter rational argument doubt entertain matter economy point essential knowledge volunteer order make efficient service essential safety theircountry consider economy involve question shilling man enable immense body volunteer eminent service country hold instruction alone make thus useful sake save shilling specie economy enter
214,5532,1800-01-01,mean preamble propose
215,1817,1800-01-01,rent l
216,3909,1800-01-01,chancellor exchequer print difficulty tomorrow
217,2682,1800-01-01,lassata et satiata necessarily debate subject late enquiry however press notice order state ground vote amendment propose noble lord althorpe speech free affectation full ability
218,6519,1800-01-01,subject bar nothing leave adopt committee use hearing counsel
219,6616,1800-01-01,colonel calcraft astonish argument
220,7851,1800-01-01,estate likely productive circumstance entitle
221,3510,1800-01-01,nothing general mass irish catholic concerned nothing connect personal toleration nothing promote social domestic habit labour class improve resource nothing lord general operation better condition catholic fellow subject ireland calculate give certain privilege influence opulent individual
222,2994,1800-01-01,history story prince man remind man forget many political writer great advantage constitution popular election bring great occasionally sue humble extreme vice present time
223,345,1800-01-01,case occur day court chancery appear creditor refuse sign certificate bankrupt suggest turn fact prove large debt due
224,7126,1800-01-01,know contend lord melville punish appeal make punishment sufficiently severe
225,72,1800-01-01,mind person present urgent press critical situation country stand wire enhance suspension royal authority ground introduce present discussion
226,3626,1800-01-01,wish therefore noble lord push rise decide address resolution move adjournment debate wednesday call enforce thursday come decision present call tomorrow business accede
227,7016,1800-01-01,zeal defence accused strangely overshoot mark
228,9559,1800-01-01,creature voluntary act choose take wild nature allot suppose exercise admit dominion use pleasure curiosity
229,496,1800-01-01,thing treaty
230,4922,1800-01-01,take strange view character french ruler suppose country look safety peace power
231,5052,1800-01-01,chancellor exchequer
232,8863,1800-01-01,council constance subsequent council basil famous council trent late year sixteenth century confirm decree lateran council particularly respect heresy
233,5686,1800-01-01,
234,8858,1800-01-01,relative post office jury general office instruct defend
235,9250,1800-01-01,length voting sort connivance least violent suspicion practice chargeable duke york
236,1846,1800-01-01,inevitably therefore take interest future moment well present guilty folly try save present danger mean ensure perishing selfsame danger moment
237,2324,1800-01-01,fearful therefore rest minister take place
238,635,1800-01-01,whitbread negative question intend however vote receive petition immediately
239,3679,1800-01-01,permit c commend appear thing sort know likely see wait dinner servant livery make appearance know page others superior rank wait prince blood believe claim even privilege
240,2637,1800-01-01,manifest nature intend make bring
241,6385,1800-01-01,method tack bill call act certainly instance mischievous househad pretty firm money affair lose great privilege
242,436,1800-01-01,england situate ireland country england reasonable
243,6496,1800-01-01,hear bar wish prove conduct sheriff day favourable mainwaring conduct directly reverse
244,5893,1800-01-01,junta gallicia desire keep distance apprehend nothing french seem partiality
245,5020,1800-01-01,
246,5405,1800-01-01,answer
247,2903,1800-01-01,earl stanhope notification induce attendance night
248,7148,1800-01-01,put
249,7515,1800-01-01,rather committee instruct withhold report whole charge accused
250,4577,1800-01-01,though mean divest feeling militia colonel object principally die injustice proprietor occupier land bill oblige pay second bounty substitute
251,5330,1800-01-01,consider question put judicial capacity
252,4021,1800-01-01,account however yet fully examine case fully
253,3655,1800-01-01,affair madrid tenor appear act
254,7206,1800-01-01,mind raise estimate admiration love glorious constitution great country sense equality know distinction mean arid great high fellow subject
255,3163,1800-01-01,colonel wood rise offer subject log book royal george dardanelles defer former night
256,2039,1800-01-01,resist progress bill far rather approve consider mean sufficiently efficacious extensive view lie susceptible amendment
257,2998,1800-01-01,howorth
258,3379,1800-01-01,
259,5377,1800-01-01,cause despair mind tune despair
260,1371,1800-01-01,shaw appointment detailed
261,8949,1800-01-01,question far thing far naturally assimilate make
262,717,1800-01-01,army list stop course peasantry
263,3620,1800-01-01,fox disclaim believe change
264,2122,1800-01-01,credit information receive doubtful contend indeed great
265,5699,1800-01-01,yorke move withdraw move butler examine statement make hamilton
266,7121,1800-01-01,hutchinson strenuous propriety confer military reward officer signally conduct still declare lord burghersh late promotion act gross crying injustice
267,1983,1800-01-01,learn doctor assert operation load clergy ireland exorbitant amount taxation
268,85,1800-01-01,generally estimate acre sometimes barrel usually second view make bargain tithe occupier spot reduce charge certain degree farmer pass note
269,7984,1800-01-01,single oppose
270,360,1800-01-01,dispatch occasion letter receive frere date th th treaty france spain state act negotiate
271,8542,1800-01-01,
272,600,1800-01-01,ponsonby indignant subject take ether side party question disclaim party feeling party motif discussion
273,9963,1800-01-01,fraternal relation novelty history grow early period firmly combine time liberty nation effectually secure
274,7182,1800-01-01,rebellion pale totally distinct period cause proceed religion loss grace resemble petition embrace article security property disarmament catholic expulsion disarm state dublin many cause order execution certain priest
275,4954,1800-01-01,state declare diminution duty salt beneficial trade commerce country present propose increase adopt effect entrap article enter numerous
276,8544,1800-01-01,nothing however bad thing press
277,9627,1800-01-01,
278,8191,1800-01-01,secretary treasury state former night whole ground build part spot choose intend yet appear situation fit build find land
279,8446,1800-01-01,fuller felt great respect
280,1183,1800-01-01,regard convoy duty necessarily cease peace follow considerable part raise head convoy duty continue denomination custom
281,7728,1800-01-01,carter french levy nothing seem even call explanation
282,3899,1800-01-01,record keep office therefore none produce refer
283,5882,1800-01-01,however presume necessary
284,508,1800-01-01,wa station th th surprise
285,8317,1800-01-01,much object abolish certain office amount charge exceed estimate service render thereby public
286,6154,1800-01-01,learn introduce discussion allude variety important subject remain
287,3698,1800-01-01,meeting clarke next day take place secretary marsden convince rise night intend
288,9724,1800-01-01,bournonville obtain leave march men spanish territory
289,7161,1800-01-01,administer oath suppose swear
290,4108,1800-01-01,
291,924,1800-01-01,exhort warn concession merely sake interest preservation
292,5945,1800-01-01,king lear tattered clothes small vice appear robe fur gown hide
293,8905,1800-01-01,petition freeholder county oxford present read set forth petitioner see deep concern petition present roman catholic ireland pray law present exclude parliament unite kingdom great britain ireland fill principal office executive government civil military ireland repeal petitioner humbly trust deficient feeling moderation tolerance allowance make difference religious subject protection afford exercise practice different time persuade grant power authority person religious principle hostile constitution country neither require liberality consistent dictate sound policy preservation petitioner convince experience age principle roman catholic religion incompatible civil religious liberty particularly repugnant genius spirit constitution unite kingdom impossible protestant roman catholic ever agree together power government attempt productive mischievous weakness public council kingdom petition roman catholic disclaim mischievous doctrine church rome still admit acknowledge dangerous one reckon supremacy foreign power matter religion important influence moral political conduct petitioner remember partiality king james second roman catholic influence give public council thecountry source grievance impose ancestor necessity effect revolution security recurrence grievance guard prevent petitioner persuade measure devise great event illustrious character instrumental effect repugnant principle establish attempt give roman catholic power government unite kingdom petitioner far recollect existing law roman catholic wear crown unite kingdom restriction petitioner conceive found sound policy wisdom petitioner help wisdom policy require exclusion branch legislature many reason nothing seem incongruous petitioner king oblige discharge share government protestant principle council consist person devote church principle different hut repugnant nature therefore pray law roman catholic present exclude parliament unite kingdom great britain ireland fill principal office executive government civil military ireland repeal
294,9045,1800-01-01,argument noble earl involve farther
295,348,1800-01-01,reason abolition plantation especially small one absolutely give case effect
296,100,1800-01-01,nothing honourable gallant officer dispatch transmit believe last wish government use discretion regard publication
297,3245,1800-01-01,reasoning
298,7001,1800-01-01,found conviction integrity
299,2056,1800-01-01,add wish stand well public
300,9070,1800-01-01,time help observe consider arrangement business unequal answer end view oath omit
301,4793,1800-01-01,statement glaringly incorrect
302,1281,1800-01-01,plan vengeance ascribe honourable deeply lay contend actuate deadly hatred malice forcibly pourtrayed bring purpose expose letter put front battle
303,2418,1800-01-01,expect person move previous question vote conceive good retain approbation future occasion merit demerit conduct fairly balanced
304,3170,1800-01-01,glaring defect bill put candour least acquaint form practice committee place defect properly correct important amendment propose
305,332,1800-01-01,consider time union catholic possess appertain act parliament violation part legislature adopt clause description
306,2668,1800-01-01,call committee temporary nature relief propose report
307,9610,1800-01-01,read resolution state substance urgent necessity period strict economy disposal public money
308,9280,1800-01-01,mine
309,6869,1800-01-01,read follow paragraph oracle yesterday
310,3407,1800-01-01,essential state bring forward interval peace
311,2264,1800-01-01,young disease subdue length grows growth strengthen strength
312,4104,1800-01-01,effect industry north look upon question great delicacy
313,7211,1800-01-01,question answer evidence ally reza khan
314,7724,1800-01-01,character enquiry suspicion throw enquiry
315,6927,1800-01-01,wound mind america degree make consent act voluntarily sacrifice commerce rather submit dictation
316,9994,1800-01-01,order day read resolve committee bill lord sidmouth rise move instruction committee
317,1473,1800-01-01,armament take place quarter material insist disarm port ferrol gallantry seaman detain state blockade squadron france
318,8455,1800-01-01,ably introduce debate
319,3666,1800-01-01,reason well state chancellor exchequer speaker interfere state contrary usage enter discussion notice give
320,643,1800-01-01,breach measure give country bad impression parliament
321,9329,1800-01-01,first french demand pecuniary succour british court expression follow mind much expedient allow spain pay subsidy force war
322,1914,1800-01-01,see convince charge groundless
323,9562,1800-01-01,order lie table
324,3906,1800-01-01,make frequent allusion author original measure grant time union extension inland navigation ireland
325,4503,1800-01-01,
326,1747,1800-01-01,stand charge culpable negligence information hold hope information justify stand much high degree responsible public conduct
327,9990,1800-01-01,noble earl next advert treaty junta ask minister expect arrive arrive
328,8085,1800-01-01,phraseology act full knowledge king intention tenour decreets arbitral majesty declaration sense clear coincidence clergy report year even commentary afford rescind act rely give decide meaning act
329,1221,1800-01-01,contrary choose strike dreadful blow fatal great britain conduct
330,1600,1800-01-01,lord folkestone ready accede proposition
331,4213,1800-01-01,material attend detail evidence part case find accompany leave entirely effect evidence
332,7383,1800-01-01,surely nothing short sport dignity well character noble
333,8937,1800-01-01,minister state accuse receive money seat call person purchase seat vacate vote conscience
334,1884,1800-01-01,deprive exemption feel parliament break faith
335,4252,1800-01-01,protestant state europe government people large share republic united province late revolution ever admit romanist person profess religion state portion political power
336,4504,1800-01-01,contrary ask
337,2846,1800-01-01,time fear invasion raise necessity foreign service
338,6395,1800-01-01,
339,8472,1800-01-01,notorious pevensey dungeness man war anchor close shop sue depth water
340,8318,1800-01-01,desire disturb unanimity occasion duty state distinctly sentiment various topic advert full discussion arise
341,8383,1800-01-01,lyttleton concur suggestion
342,1359,1800-01-01,earl explanation intention put improper question noble secretary wish draw noble secretary make merit good conduct craddock portugal
343,9981,1800-01-01,
344,1959,1800-01-01,effort employ trace different relation bearing conspiracy
345,5009,1800-01-01,bill much amend committee declare vote first series intended innovation change necessary constitution common
346,5556,1800-01-01,unnecessary deem remark advancement cause favourable trespass even moment intend call allusion precedent correctly quote
347,4607,1800-01-01,respect
348,433,1800-01-01,act mention never mention censure defend minister ground necessity time solemn pledge give never recur mode proceed open breach faith depend future pledge
349,7563,1800-01-01,carelessness seem arise want spirit activity calamity saw remedy shrink death
350,219,1800-01-01,idea erroneous preposterous possibly conceive
351,8355,1800-01-01,put chair cartwright rise
352,8268,1800-01-01,letter royal highness advise write lord temple deeply regret write sincerely wish
353,8741,1800-01-01,mean time give form notice thus opportunity fully consider nature passage question
354,9270,1800-01-01,newport enter give rise official residence give irish chancellor exchequer
355,9229,1800-01-01,mean observe late great object remedy evil excessive paper circulation gradual take restriction bank corporation enable gradually resume cash payment however due full notice give
356,4157,1800-01-01,propose parliament raise large sum year war tax confine increase public debt narrow limit wholly prevent
357,1233,1800-01-01,let interest dear pursuit life see make
358,126,1800-01-01,proceed comment part evidence
359,9835,1800-01-01,take bounty originally pay substitute combine bounty pay transfer service appear number men obtain militia last draft line cost country bounty less third come fund general tax country third extract pocket private individual subject ballot third landed interest poor rate
360,9844,1800-01-01,thus much official matter answer income exceed l offensive expression barry modify withdraw suggestion canning word strong claim promotion omit barham brown lyttleton adam wardle ready withdraw question put shape committee suggest
361,1453,1800-01-01,baronet observe law usury ineffectual system wrong
362,9674,1800-01-01,
363,7976,1800-01-01,obtain proof fact alledged royal highness able prove fact prove something different something less follow innocent great offence less one preclude acquittal
364,8245,1800-01-01,old attachment loosen habitual respect diminish
365,5312,1800-01-01,consider spain principal present war obligation treaty renounce execution disclaim assure maj
366,9336,1800-01-01,mean dispose favour disposition turn matter contempt court fact crime entirely different nature
367,561,1800-01-01,advice
368,2008,1800-01-01,free hostile feeling elevated personage character charge vitally affect
369,7932,1800-01-01,believe guilty base foul crime pocket coarsely partake wage iniquity disbelieve privity existence corruption
370,7401,1800-01-01,proceed speak consumption spirit beneficial effect result general distillation sugar
371,3740,1800-01-01,others
372,8340,1800-01-01,wilfully knowingly corruptly admit poll burdett bart
373,141,1800-01-01,instance also quantity arm propose act issue government quarter number inland county half maritime bad deliver consider corp entitle return attend regular number day exercise
374,7746,1800-01-01,expedition noble lord quite home plentiful supply transport
375,9023,1800-01-01,person first give way need protection service volunteer protection sort age number child already serve substitute specie force
376,6608,1800-01-01,merit system see accession strength country advantage army
377,3756,1800-01-01,passing resolution noble retire office last act official duty provide supply year
378,9273,1800-01-01,first paragraph disagreeable castle credit slight notice prevent repetition
379,5554,1800-01-01,design excite people believe soul also wish many supporter fail public begin favourably
